SMILES,CHEMBL_ID,CHEMBL_COMPOUND_NAME,CHEMBL_MAX_PHASE,Plate Number/Position Number,Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18,ETHOXZOLAMIDE,4,16C10,Prestw-1710,Ethoxzolamide,nan,Ophthalmology 'Gastroenterology 'Central Nervous System,Antiglaucoma 'Antiulcer 'Diuretic 'Antiepileptic,2.098887771
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CHEMBL1200585,OXYMETHOLONE,4,16G10,Prestw-1780,Oxymetholone,nan,Endocrinology,Anabolic,1.7383008930000001
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,"CHEMBL1201111,CHEMBL3186492",ONDANSETRON HYDROCHLORIDE,"0,4",14B09,Prestw-1058,Ondansetron hydrochloride,nan,Central Nervous System,Antianemic,1.6653051819999998
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL253363,PREGNENOLONE,0,07G07,Prestw-546,Pregnenolone,nan,Endocrinology,Anabolic 'Anti-inflammatory,1.658903646
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5.Cl,CHEMBL1201152,NALMEFENE HYDROCHLORIDE,4,15F10,Prestw-1490,Nalmefene hydrochloride,nan,Central Nervous System,nan,1.6531873069999998
C=CCOc1ccccc1OCC(O)CNC(C)C.Cl,CHEMBL1200745,OXPRENOLOL HYDROCHLORIDE,4,14B08,Prestw-1057,Oxprenolol hydrochloride,nan,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive,1.632168541
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1201109,DESONIDE,4,16H10,Prestw-1704,Desonide,nan,Dermatology,Antipsoriatic,1.5799858009999999
CC(C)=C/C(C)=N/N=c1/[nH]ncc2ccccc12,CHEMBL2107516,BUDRALAZINE,0,19B02,Prestw-1996,Budralazine,nan,Cardiovascular,Vasodilator 'Antihypertensive,1.549033621
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL529,AZITHROMYCIN,4,15F04,Prestw-1234,Azithromycin,nan,Infectiology,Antibacterial,1.486584463
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,CHEMBL547,ISOTRETINOIN,4,04B07,Prestw-256,Isotretinoin,nan,Dermatology,Keratolytic 'Antineoplastic,1.483691846
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,CHEMBL1111,AMBRISENTAN,4,15D05,Prestw-1497,Ambrisentan,nan,Cardiovascular,Antihypertensive,1.45860458
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1.COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1.O.O.O=C(O)/C=C/C(=O)O,CHEMBL3989798,FORMOTEROL FUMARATE,4,15H04,Prestw-1421,Formoterol fumarate,nan,Respiratory,Antiasthmatic,1.444869929
Cl.Nc1c2c(nc3ccccc13)CCCC2,CHEMBL1677,TACRINE HYDROCHLORIDE,4,05A10,Prestw-329,Tacrine hydrochloride,nan,Central Nervous System,CNS Stimulant,1.4421868780000002
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,CHEMBL1690,HYDROXYCHLOROQUINE SULFATE,4,08E11,Prestw-1284,Hydroxychloroquine sulfate,nan,Metabolism,Antimalarial,1.432696155
N[C@@H]1CONC1=O,CHEMBL771,CYCLOSERINE,4,14E07,Prestw-1086,D-cycloserine,nan,Infectiology,Antibacterial,1.4265996680000002
N[C@@H]1CONC1=O,CHEMBL771,CYCLOSERINE,4,14E10,Prestw-1089,"(S,-) Cycloserine",nan,Infectiology,Antibacterial,1.420403836
