"Plate Number/Position Number",Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
16C10,Prestw-1710,Ethoxzolamide,,Ophthalmology 'Gastroenterology 'Central Nervous System,Antiglaucoma 'Antiulcer 'Diuretic 'Antiepileptic,2.098887771
16G10,Prestw-1780,Oxymetholone,,Endocrinology,Anabolic,1.738300893
14B09,Prestw-1058,Ondansetron hydrochloride,,Central Nervous System,Antianemic,1.665305182
07G07,Prestw-546,Pregnenolone,,Endocrinology,Anabolic 'Anti-inflammatory,1.658903646
15F10,Prestw-1490,Nalmefene hydrochloride,,Central Nervous System,,1.653187307
14B08,Prestw-1057,Oxprenolol hydrochloride,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive,1.632168541
16H10,Prestw-1704,Desonide,,Dermatology,Antipsoriatic,1.579985801
19B02,Prestw-1996,Budralazine,,Cardiovascular,Vasodilator 'Antihypertensive,1.549033621
15F04,Prestw-1234,Azithromycin,,Infectiology,Antibacterial,1.486584463
04B07,Prestw-256,Isotretinoin,,Dermatology,Keratolytic 'Antineoplastic,1.483691846
15D05,Prestw-1497,Ambrisentan,,Cardiovascular,Antihypertensive,1.45860458
15H04,Prestw-1421,Formoterol fumarate,,Respiratory,Antiasthmatic,1.444869929
05A10,Prestw-329,Tacrine hydrochloride,,Central Nervous System,CNS Stimulant,1.442186878
08E11,Prestw-1284,Hydroxychloroquine sulfate,,Metabolism,Antimalarial,1.432696155
14E07,Prestw-1086,D-cycloserine,,Infectiology,Antibacterial,1.426599668
14E10,Prestw-1089,"(S,-) Cycloserine",,Infectiology,Antibacterial,1.420403836
04D11,Prestw-280,Quinidine hydrochloride monohydrate,,Cardiovascular 'Infectiology,Antiarrhythmic 'Antimalarial,1.411005503
13E08,Prestw-1007,Fursultiamine hydrochloride,,Metabolism,Anti-Alzheimer,1.385137645
13C04,Prestw-983,Dimaprit dihydrochloride,,Ophthalmology,Antiglaucoma,1.382078049
14A05,Prestw-1044,Prednicarbate,,Metabolism,Anti-Inflammatory,1.367905219
14D08,Prestw-1420,Formestane,,Endocrinology,Antineoplastic,1.364586022
07G09,Prestw-548,Chloroquine diphosphate,,Metabolism,Anti-inflammatory 'Antimalarial 'Antiprotozoal,1.351010913
16H02,Prestw-1745,Cisatracurium besylate,,Neuromuscular,Muscle relaxant,1.338431048
14E05,Prestw-1516,Levalbuterol hydrochloride,,Respiratory,Antiasthmatic 'Bronchodilator,1.310538447
17D04,Prestw-1857,Oxiglutatione,,Ophthalmology,Antidote,1.296598116
11E11,Prestw-850,Equilin,,Endocrinology,,1.281616688
19E10,Prestw-2052,Dilevalol,,Cardiovascular,Antihypertensive,1.27671973
